text,language
The school bus broke down and children arrived home late.,English
My father-in-law is a tough man but he has a good heart.,English
I have been working overtime every day this week.,English
The bodaboda guy knows my route now and waits for me every morning.,English
Chieng' wuok jaber kawuono okinyi.,Luo
"Kwa base walikuwa wanachoma mahindi, harufu ilikuwa good.",Sheng
Dengu inachukua muda mrefu kupika vizuri.,Swahili
"Exams start Monday, remind your kids to study over the weekend.",English
Simu yangu ina tatizo la mtandao leo.,Swahili
The hustle is real out here but we keep pushing.,English
I love how athletics brings the whole country together.,English
Benki imenikatalia mkopo kwa mara ya pili.,Swahili
Mama oselo nyithindo chiemo maber.,Luo
"Another year older, another year wiser, God is good.",English
Nyako owinjo wach mama maber.,Luo
"Buda amenilipisha, saa hii niko sorted kabisa.",Sheng
Kesho asubuhi tutaonana mahali pale pale.,Swahili
Watoto wanafundishwa kuandika na kusoma vizuri.,Swahili
"We have a team meeting at ten, please be on time.",English
Our school won the drama festival at county level.,English
My friend has been fighting malaria for two weeks now.,English
Alfajiri nilikuwa macho na siwezi kulala.,Swahili
Ji mathoth odhi lemo kawuono odhiambo.,Luo
"Bana alinisema vizuri, moyo wangu ulifeel good sana.",Sheng
"Niko na skills, natafuta mtu wa kuniconnect tu.",Sheng
Meneja wetu amemwambia afanye kazi ya ziada.,Swahili
"Tunajuana tangu standard six, yeye ni familia yangu.",Sheng
Maze relationship yangu ilikufa kwa sababu ya imani.,Sheng
"I did not cook today, ordered in and no regrets at all.",English
"Mtoto wangu ana homa, ninamchukua hospitali.",Swahili
Mama osenyiso nyithindo wach maber.,Luo
"Nimechoka sana, nimefanya kazi nzuri leo.",Swahili
Mama osemako nyathi maber ahinya kawuono.,Luo
Maze watu wanafollow tu hawana plan ya kujisupport.,Sheng
"Reach home safe, txt me when u arrive.",English
"Maze influencer wa hii town wanajifanya tu, sisi tunajua.",Sheng
Ji mathoth neno chieng' podho e nam.,Luo
"Samaki wa leo ni safi kabisa, nipe moja.",Swahili
An chiemo rech gi kuon odhiambo.,Luo
Chieng' wuok maber kawuono okinyi.,Luo
An ng'eyo wach maber mar dala.,Luo
"Kesho ni sikukuu, tutakusanyika nyumbani.",Swahili
"Nairobi never sleeps, there is always something happening somewhere.",English
Nyithindo ohero singo e dala odhiambo.,Luo
"Macho yangu yananiudhi, nitaenda kwa daktari.",Swahili
Heavy rains are expected in western parts of the country this week.,English
Nyithindo ohero singo gi osiepe.,Luo
Mchele wa kupika unahitaji maji mengi.,Swahili
"Uko wapi saa hii, tukutane kwa stage ya town.",Sheng
"Huyo msee ni vibe fiti, kila wakati anakufanya ucheke.",Sheng
Uber surge pricing in the evening is too painful honestly.,English
"Maze hii ni too much info, sitaki kujua hizo.",Sheng
Maze nilichelewa kwa appointment kwa sababu ya jam kubwa.,Sheng
"Mdosi wangu amenilipisha overtime, niko na kitu.",Sheng
Road signs on the bypass are confusing even for regulars.,English
Nilijua huyo msee si real wakati wa shida zangu.,Sheng
Mvua inanyesha sana leo asubuhi.,Swahili
The government portal keeps crashing when I try to apply.,English
Comment section ya huyo msee ni war zone kila wakati.,Sheng
Bei ya mafuta imepanda tena wiki hii.,Swahili
Jaduong' timo tich matek kawuono.,Luo
Wuoyi no timo tich matek e puoth.,Luo
Nyathi wuotho e skul odiechieng'.,Luo
An gi mor ne dala maber ahinya.,Luo
"Doh yangu yote niliiweka kwa biashara, tunaona.",Sheng
Every Kenyan has a soft spot for a good smokie pasua.,English
Chanjo ya watoto inafanyika kila Alhamisi.,Swahili
Local content on television has improved so much in recent years.,English
"Stress is a silent killer, find ways to decompress daily.",English
Rech maler yudo e dho nam kawuono.,Luo
Dereva wa lori alipoteza njia usiku wa manane.,Swahili
My father's farm produces enough vegetables for the whole family.,English
"Ile video ilikuwa viral kwa siku mbili, kila mtu alishare.",Sheng
The Central Bank has maintained the base lending rate this quarter.,English
Nyako ber singo e ot kawuono.,Luo
Nyathi maber winjo wach jodongo.,Luo
"Usiku mwema, lala salama.",Swahili
Wuoyi no tedo chiemo e ot.,Luo
"Ile clip ya jana ilikuwa too funny, niishare kwa kila mtu.",Sheng
Lake Victoria is getting polluted and it needs urgent attention.,English
Dhako no ng'eyo timo chiemo maber.,Luo
"Teachers are the backbone of any nation, respect them always.",English
"Driver alienda kwa speed ya fala, watu wakaomba atulie.",Sheng
Mkate wa soda and tea is the best breakfast for cold mornings.,English
"Piny ng'ich kawuono, wabedo e ot.",Luo
Maze nilifanya savings polepole na saa hii niko na kitu.,Sheng
